raspberry (raspbian9.13)
========================
Total: 475 (High:73 Medium:290 Low:49 ?:63), 3/475 Fixed, 574 installed, 6 exploits, 0 modules, en: 12, ja: 4 alerts

+---------------------+------+--------+-----+---------------+---------+---------------------------------------------------+
|       CVE-ID        | CVSS | ATTACK | POC |     CERT      |  FIXED  |                        NVD                        |
| CVE-2019-19232      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19232   |
| CVE-2019-19234      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19234   |
| CVE-2019-19770      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19770   |
| CVE-2019-6470       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-6470    |
| CVE-2019-9192       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9192    |
| CVE-2019-9496       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9496    |
| CVE-2019-9923       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9923    |
| CVE-2019-2213       |  7.4 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-2213    |
| CVE-2019-14866      |  7.3 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-14866   |
| CVE-2006-4447       |  7.2 |  AV:L  |     | USCERT        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2006-4447    |
| CVE-2008-4108       |  7.2 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2008-4108    |
| CVE-2020-14356      |  7.2 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-14356   |
| CVE-2008-4609       |  7.1 |  AV:N  |     | USCERT/JPCERT | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2008-4609    |
| CVE-2017-11472      |  7.1 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11472   |
| CVE-2017-13716      |  7.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13716   |
| CVE-2017-14930      |  7.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-14930   |
| CVE-2018-1000654    |  7.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000654 |
| CVE-2018-1116       |  7.1 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1116    |
| CVE-2019-19815      |  7.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19815   |
| CVE-2019-9494       |  7.0 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9494    |
